               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073947,            0.013234,           0.0093728,             0.51314,             0.21693,            0.016836,           0.0040683,            0.060506,           0.0027102,           0.0017847,             0.07015,           0.0033167,           0.0033167
                   1,            0.054942,           0.0086737,           0.0008324,              0.5715,             0.06261,            0.027688,           0.0079438,            0.055091,           0.0028908,          0.00073598,            0.040139,            0.006639,            0.006639
                   2,            0.053897,           0.0079447,          0.00059843,             0.54057,            0.047619,            0.018803,           0.0049578,            0.058937,           0.0054976,          0.00040799,            0.010117,           0.0099504,           0.0099504
                   3,            0.052604,           0.0078573,          0.00035551,             0.57035,            0.074074,            0.034304,           0.0086581,             0.05621,           0.0025764,          0.00023709,           0.0099505,           0.0099505,           0.0099505
                   4,            0.050426,           0.0077017,          0.00024716,             0.54328,            0.026455,           0.0073981,           0.0016475,            0.068846,           0.0027831,          0.00019547,           0.0099505,           0.0099505,           0.0099505
                   5,             0.04896,           0.0076597,          0.00019608,             0.54971,            0.056437,            0.023945,           0.0057349,            0.064387,           0.0023124,          0.00015891,            0.009934,            0.009934,            0.009934
                   6,            0.048489,           0.0074414,          0.00016993,           0.0076737,             0.16226,           0.0097184,           0.0029431,            0.055288,           0.0037185,          0.00015044,           0.0099175,           0.0099175,           0.0099175
                   7,            0.048525,           0.0073099,          0.00015975,             0.56509,            0.051146,            0.023167,           0.0066912,            0.055803,           0.0034027,          0.00015049,            0.009901,            0.009901,            0.009901
                   8,            0.047539,           0.0073489,          0.00015392,             0.62195,             0.12033,            0.081065,            0.022085,            0.057076,           0.0023378,          0.00010025,           0.0098845,           0.0098845,           0.0098845
                   9,            0.047735,            0.007354,           0.0001372,             0.60238,            0.099647,            0.063466,            0.013762,            0.057048,           0.0024574,          8.6607e-05,            0.009868,            0.009868,            0.009868
                  10,            0.047271,           0.0073474,          0.00013029,             0.62894,             0.10935,            0.070406,            0.016666,            0.058307,           0.0022738,          9.6264e-05,           0.0098515,           0.0098515,           0.0098515
                  11,            0.046947,           0.0072391,          0.00012941,            0.054918,            0.050265,            0.022739,           0.0046812,            0.061506,           0.0026289,          0.00013908,            0.009835,            0.009835,            0.009835
                  12,            0.046958,           0.0072612,          0.00012386,             0.58531,            0.083774,            0.048075,            0.011284,            0.058001,           0.0023521,          7.5184e-05,           0.0098185,           0.0098185,           0.0098185
                  13,            0.046937,           0.0072516,          0.00012133,             0.62911,            0.095238,            0.070551,            0.017308,            0.055782,           0.0024389,           7.594e-05,            0.009802,            0.009802,            0.009802
