               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048007,            0.020346,            0.021435,             0.19945,             0.23885,             0.19473,            0.068768,            0.050352,            0.011128,             0.02646,            0.009307,            0.009307,            0.009307
                  37,            0.047781,            0.020535,            0.022141,              0.1731,             0.19598,             0.17157,            0.056883,            0.051685,            0.011204,            0.024788,           0.0092872,           0.0092872,           0.0092872
                  38,            0.047344,            0.020788,            0.021336,             0.19864,             0.23971,              0.1852,            0.063596,            0.050065,            0.011166,            0.024728,           0.0092674,           0.0092674,           0.0092674
                  39,            0.047889,            0.020684,            0.021388,             0.22459,             0.16392,             0.16885,            0.057214,            0.050435,            0.011974,            0.025157,           0.0092476,           0.0092476,           0.0092476
                  40,            0.047883,            0.020863,             0.02172,             0.19203,             0.20451,             0.16989,            0.058055,            0.049955,              0.0113,            0.024911,           0.0092278,           0.0092278,           0.0092278
                  41,            0.047831,            0.020523,            0.021576,             0.21508,             0.21434,             0.17894,            0.064878,            0.049498,            0.011096,            0.026135,            0.009208,            0.009208,            0.009208
                  42,            0.047982,            0.020363,            0.020875,             0.22317,             0.24603,             0.18177,            0.058374,            0.049635,            0.011147,            0.026497,           0.0091882,           0.0091882,           0.0091882
                  43,            0.047865,            0.020897,            0.020837,             0.22768,             0.22543,             0.17821,            0.062297,            0.049919,            0.011292,            0.028736,           0.0091684,           0.0091684,           0.0091684
                  44,            0.047543,            0.020654,            0.020983,             0.61674,             0.17833,             0.18864,            0.061919,            0.049666,             0.01124,            0.024814,           0.0091486,           0.0091486,           0.0091486
                  45,            0.047939,            0.020499,            0.021433,             0.20857,             0.24887,             0.18223,            0.062979,            0.049938,            0.011233,            0.024847,           0.0091288,           0.0091288,           0.0091288
                  46,             0.04833,            0.020495,            0.021589,             0.20473,             0.21379,             0.18227,            0.061857,            0.049808,             0.01128,            0.026737,            0.009109,            0.009109,            0.009109
                  47,            0.047842,            0.020366,            0.021282,             0.27372,             0.21588,             0.20044,            0.068955,            0.049676,            0.011145,            0.024757,           0.0090892,           0.0090892,           0.0090892
                  48,            0.047071,            0.020628,            0.020528,             0.24808,             0.22843,             0.18477,             0.06392,            0.050371,            0.011204,            0.026185,           0.0090694,           0.0090694,           0.0090694
                  49,            0.047111,            0.020108,             0.02049,             0.25517,              0.1973,             0.17045,            0.060667,              0.0493,            0.011258,            0.026715,           0.0090496,           0.0090496,           0.0090496
                  50,            0.047395,            0.020659,            0.020344,             0.23091,             0.23102,             0.17978,            0.058368,            0.050101,            0.011226,            0.028199,           0.0090298,           0.0090298,           0.0090298
                  51,            0.047026,            0.020697,            0.020671,             0.23674,             0.24705,             0.17966,            0.059232,            0.048867,             0.01129,            0.028799,             0.00901,             0.00901,             0.00901
                  52,            0.046937,            0.020521,             0.01995,             0.22499,             0.22461,             0.16674,            0.055634,            0.049969,            0.011122,            0.027335,           0.0089902,           0.0089902,           0.0089902
                  53,            0.047111,            0.020684,            0.020436,             0.27422,             0.21442,             0.19089,            0.064993,            0.049264,            0.011188,             0.02688,           0.0089704,           0.0089704,           0.0089704
                  54,            0.047061,            0.020379,            0.020704,             0.24196,             0.18233,             0.17492,            0.062902,            0.049951,            0.011067,             0.02785,           0.0089506,           0.0089506,           0.0089506
                  55,            0.047086,            0.020311,            0.019936,             0.19238,             0.20657,             0.17062,            0.058462,            0.051587,            0.011355,            0.028982,           0.0089308,           0.0089308,           0.0089308
                  56,            0.047209,            0.020348,            0.019879,             0.20826,             0.22669,             0.18788,            0.066054,            0.049651,            0.011189,            0.026557,            0.008911,            0.008911,            0.008911
                  57,            0.047255,            0.020989,            0.019952,             0.23761,             0.21686,              0.1816,             0.06441,            0.050024,            0.011193,            0.027312,           0.0088912,           0.0088912,           0.0088912
                  58,            0.046977,            0.020777,            0.019676,             0.25174,             0.24238,             0.20053,             0.06992,            0.049808,            0.011099,            0.027257,           0.0088714,           0.0088714,           0.0088714
                  59,            0.047097,            0.020436,             0.01956,             0.23994,             0.22535,             0.19667,            0.069194,            0.050437,            0.011304,            0.027354,           0.0088516,           0.0088516,           0.0088516
                  60,            0.047089,            0.020229,            0.019211,             0.28243,             0.20766,             0.19629,            0.071225,            0.050424,            0.011246,            0.027973,           0.0088318,           0.0088318,           0.0088318
                  61,            0.047112,            0.020574,            0.019189,             0.21992,             0.18103,              0.1809,            0.061142,            0.051062,            0.011234,            0.027723,            0.008812,            0.008812,            0.008812
                  62,            0.046947,            0.020306,            0.020103,             0.25232,             0.19359,             0.17964,            0.064169,            0.050514,            0.011181,            0.027347,           0.0087922,           0.0087922,           0.0087922
                  63,            0.046745,            0.020805,            0.019428,             0.21244,             0.24772,             0.18961,            0.065761,            0.049352,            0.011476,            0.026854,           0.0087724,           0.0087724,           0.0087724
                  64,            0.046542,            0.021016,             0.01832,             0.23038,             0.22916,             0.18218,            0.062379,            0.049741,            0.011448,            0.028197,           0.0087526,           0.0087526,           0.0087526
                  65,             0.04684,            0.020343,            0.019576,             0.24496,             0.20133,             0.18643,            0.065838,            0.049728,            0.011333,            0.026544,           0.0087328,           0.0087328,           0.0087328
                  66,            0.046777,            0.020562,            0.018467,             0.20738,             0.23454,             0.19183,            0.066257,            0.050059,             0.01111,            0.026434,            0.008713,            0.008713,            0.008713
                  67,            0.046536,            0.020281,            0.019103,              0.1859,             0.23678,             0.18119,            0.064523,            0.050192,            0.011136,            0.027871,           0.0086932,           0.0086932,           0.0086932
                  68,            0.046945,            0.020214,            0.019162,              0.1868,             0.24816,             0.18183,            0.064955,            0.050185,            0.011063,            0.029796,           0.0086734,           0.0086734,           0.0086734
                  69,            0.046933,            0.020662,            0.018422,             0.20005,             0.22909,             0.18449,            0.065645,            0.049827,            0.011117,            0.030156,           0.0086536,           0.0086536,           0.0086536
                  70,             0.04667,            0.020512,            0.018064,             0.22542,             0.22157,             0.17389,             0.05998,            0.049671,            0.011327,            0.028523,           0.0086338,           0.0086338,           0.0086338
                  71,            0.046805,            0.020279,            0.018705,             0.26982,             0.20148,             0.18918,            0.068548,            0.049324,            0.011208,            0.028837,            0.008614,            0.008614,            0.008614
                  72,            0.046431,             0.02001,            0.018589,             0.24197,             0.22516,             0.20003,            0.070465,            0.050331,             0.01106,             0.02755,           0.0085942,           0.0085942,           0.0085942
                  73,            0.045924,            0.020248,            0.018358,             0.21718,             0.20557,             0.18595,            0.065516,            0.049891,            0.011353,            0.028537,           0.0085744,           0.0085744,           0.0085744
